time_point,group,subject,rank,rearing,sex,age,task,trial_time_point,code
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,2,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,3,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,3,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,4,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,4,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,5,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,5,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,6,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,6,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,7,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,8,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,7,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,8,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,9,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,9,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,10,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,11,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,10,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,11,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,12,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,12,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,3,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,4,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,5,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,6,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,1,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,2,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,3,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,4,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,5,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,6,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,7,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,8,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,9,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,10,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,11,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,quantity,12,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_place,1,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_place,2,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_place,3,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_place,4,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,1,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,2,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,3,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,4,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,5,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,6,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,7,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,switching_feature,8,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,7,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,8,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,1,0
5,gorilla,kumili,3,mother,f,16.747433264887064,gaze_following,2,0
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,1,0
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,1,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,2,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,2,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,3,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,3,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,4,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,4,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,5,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,5,1
5,gorilla,kumili,3,mother,f,16.747433264887064,causality,6,1
5,gorilla,kumili,3,mother,f,16.747433264887064,inference,6,0
